id,code,name,industry,foundation,sales,profit,cagr,answer1,answer2,
1,7164,全国保証,リスク保証サービス,http://www.zenkoku.co.jp/,359,78,7,4,1,
2,8772,アサックス,事業者金融,https://www.asax.co.jp/,63,68,3,4,1,
3,4565,そーせいグループ,バイオテクノロジー,http://www.sosei.com/,189,66,57,4,1,
4,7148,FPG,総合リース,http://www.fpg.jp/,189,63,57,4,1,
5,6620,宮越ホールディングス,医薬品卸,http://www.miyakoshi-holdings.com/,12,59,-26,4,1,
6,8697,日本取引所グループ,証券取引所,http://www.jpx.co.jp/,1079,55,9,4,1,
7,6861,キーエンス,センサ,http://www.keyence.co.jp/,3163,54,14,4,1,
8,2477,比較.com,専門情報サイト,http://www.hikaku.com/,9,52,5,4,1,
9,7190,マーキュリアインベストメント,事業投資,http://www.mercuria.jp/,25,51,N/A,4,1,
10,4587,ペプチドリーム,バイオテクノロジー,http://www.peptidream.com/,49,51,48,4,1,
11,6080,M&Aキャピタルパートナーズ,経営・財務アドバイザリーサービス,http://www.ma-cp.com/,38,50,46,4,1,
12,4732,ユー・エス・エス,中古車オークション,http://www.ussnet.co.jp/,672,48,1,4,1,
13,2127,日本M&Aセンター,経営・財務アドバイザリーサービス,http://www.nihon-ma.co.jp/,191,47,21,4,1,
14,2371,カカクコム,専門情報サイト,http://corporate.kakaku.com/,451,47,14,4,1,
15,8358,スルガ銀行,地方銀行,http://www.surugabank.co.jp/,1458,47,6,4,1,
16,6037,ファーストロジック,専門情報サイト,http://www.firstlogic.co.jp/,13,46,N/A,4,1,
17,8771,イー・ギャランティ,リスク保証サービス,http://www.eguarantee.co.jp/,46,46,5,4,1,
18,4684,オービック,システムインテグレーター,http://www.obic.co.jp/,615,45,4,4,1,
19,8595,ジャフコ,ベンチャー投資,http://www.jafco.co.jp/,279,44,5,4,1,
20,3963,シンクロ・フード,専門情報サイト,http://www.synchro-food.co.jp/,11,43,N/A,4,1,
21,3665,エニグモ,専門Eコマース（B to C）,http://www.enigmo.co.jp/,41,43,24,4,1,
22,4733,オービックビジネスコンサルタント,ソフトウェア（ERP）,http://www.obc.co.jp/,233,43,7,4,1,
23,2121,ミクシィ,ソーシャルゲーム,http://mixi.co.jp/,2072,43,75,4,1,
24,6552,GameWith,専門情報サイト,https://www.gamewith.co.jp,16,42,N/A,4,1,
25,4327,日本エス・エイチ・エル,人事・人材コンサルティング,http://www.shl.co.jp/,24,42,7,4,1,
26,7172,ジャパンインベストメントアドバイザー,総合リース,http://www.jia-ltd.com/,59,42,115,4,1,
27,4321,ケネディクス,不動産投資,http://www.kenedix.com/,227,42,2,4,1,
28,8706,極東証券,証券会社,http://www.kyokuto-sec.co.jp/,103,41,-3,4,1,
29,3932,アカツキ,ソーシャルゲーム,http://aktsk.jp/,115,41,N/A,4,1,
